ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,All Souls' Day,All Souls' Day_lower,All Souls' Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Good Friday,Good Friday_lower,Good Friday_upper,Independence Day,Independence Day_lower,Independence Day_upper,Our Lady of Aparecida,Our Lady of Aparecida_lower,Our Lady of Aparecida_upper,Republic Proclamation Day,Republic Proclamation Day_lower,Republic Proclamation Day_upper,Tiradentes' Day,Tiradentes' Day_lower,Tiradentes' Day_upper,Universal Fraternization Day,Universal Fraternization Day_lower,Universal Fraternization Day_upper,Worker's Day,Worker's Day_lower,Worker's Day_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,categoria
2020-01-09,4.907574921941668,-9.061029202787756,16.16224566195516,4.845473244019199,4.960562099873014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17544150758212804,-0.17544150758212804,-0.17544150758212804,-0.17544150758212804,-0.17544150758212804,-0.17544150758212804,0.0,0.0,0.0,4.046582579063977,OUTROS
2020-01-10,4.8999706480229985,-7.499292027703893,16.633731998081256,4.835334207736348,4.955518135573458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18057721508056573,-0.18057721508056573,-0.18057721508056573,-0.18057721508056573,-0.18057721508056573,-0.18057721508056573,0.0,0.0,0.0,4.01514759442649,OUTROS
2020-01-11,4.89236637410433,-7.9368915334826395,15.69568214895092,4.8262455194242,4.949961071817083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1815137790703331,-0.1815137790703331,-0.1815137790703331,-0.1815137790703331,-0.1815137790703331,-0.1815137790703331,0.0,0.0,0.0,4.00433446494403,OUTROS
2020-01-12,4.884762100185661,-7.991825672030042,16.577558130646345,4.8159234071393335,4.944628463565205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1782742997856106,-0.1782742997856106,-0.1782742997856106,-0.1782742997856106,-0.1782742997856106,-0.1782742997856106,0.0,0.0,0.0,4.013934557155774,OUTROS
2020-01-13,4.8771578262669895,-8.39282050354167,16.45915054557218,4.804917098887792,4.939560472566787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17098544631827092,-0.17098544631827092,-0.17098544631827092,-0.17098544631827092,-0.17098544631827092,-0.17098544631827092,0.0,0.0,0.0,4.04323481857808,OUTROS
2020-01-14,4.869553552348321,-8.141868250513687,16.194018650042704,4.79477806260494,4.934311249288706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15987416276286714,-0.15987416276286714,-0.15987416276286714,-0.15987416276286714,-0.15987416276286714,-0.15987416276286714,0.0,0.0,0.0,4.0910377551376875,OUTROS
2020-01-15,4.861949278429652,-8.697373267722435,16.035834642103605,4.784930685678441,4.929912999749799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14526179052236127,-0.14526179052236127,-0.14526179052236127,-0.14526179052236127,-0.14526179052236127,-0.14526179052236127,0.0,0.0,0.0,4.155693820816058,OUTROS
2020-01-16,4.854345004510982,-8.61938137261001,16.381683730499784,4.774499990039238,4.924215143127949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12755577771071347,-0.12755577771071347,-0.12755577771071347,-0.12755577771071347,-0.12755577771071347,-0.12755577771071347,0.0,0.0,0.0,4.235145252184467,OUTROS
2020-01-17,4.846740730592313,-8.229727177767934,16.528429700898883,4.764316260940004,4.918191794902451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10723920991452893,-0.10723920991452893,-0.10723920991452893,-0.10723920991452893,-0.10723920991452893,-0.10723920991452893,0.0,0.0,0.0,4.326980083983027,OUTROS
2020-01-18,4.839136456673643,-7.369603395118567,16.23018601577923,4.754035957857243,4.913009918662774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08485845310083362,-0.08485845310083362,-0.08485845310083362,-0.08485845310083362,-0.08485845310083362,-0.08485845310083362,0.0,0.0,0.0,4.428494822616468,OUTROS
