ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,All Souls' Day,All Souls' Day_lower,All Souls' Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Good Friday,Good Friday_lower,Good Friday_upper,Independence Day,Independence Day_lower,Independence Day_upper,Our Lady of Aparecida,Our Lady of Aparecida_lower,Our Lady of Aparecida_upper,Republic Proclamation Day,Republic Proclamation Day_lower,Republic Proclamation Day_upper,Tiradentes' Day,Tiradentes' Day_lower,Tiradentes' Day_upper,Universal Fraternization Day,Universal Fraternization Day_lower,Universal Fraternization Day_upper,Worker's Day,Worker's Day_lower,Worker's Day_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,categoria
2018-05-28,158.25932810812745,169.9077421378772,300.95018812171156,158.25932810812745,158.25932810812745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48408470221469196,0.48408470221469196,0.48408470221469196,0.48408470221469196,0.48408470221469196,0.48408470221469196,0.0,0.0,0.0,234.87024782804755,LINHA NOITE
2018-05-29,157.9981261072081,164.97533704521052,295.6443398011981,157.9981261072081,157.9981261072081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.461754091202661,0.461754091202661,0.461754091202661,0.461754091202661,0.461754091202661,0.461754091202661,0.0,0.0,0.0,230.9544072395654,LINHA NOITE
2018-05-30,157.7369241062887,162.87127303154097,292.1830958734571,157.7369241062887,157.7369241062887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43958478192916633,0.43958478192916633,0.43958478192916633,0.43958478192916633,0.43958478192916633,0.43958478192916633,0.0,0.0,0.0,227.07567549172907,LINHA NOITE
2018-06-01,157.21452010444997,159.41614577399505,283.15390724568783,157.21452010444997,157.21452010444997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.397753612714593,0.397753612714593,0.397753612714593,0.397753612714593,0.397753612714593,0.397753612714593,0.0,0.0,0.0,219.74716344718598,LINHA NOITE
2018-06-02,156.95331810353056,150.5947816269077,282.2297740269061,156.95331810353056,156.95331810353056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3789533573217731,0.3789533573217731,0.3789533573217731,0.3789533573217731,0.3789533573217731,0.3789533573217731,0.0,0.0,0.0,216.4313049416557,LINHA NOITE
2018-06-04,156.43091410169183,147.95634271411978,277.5920924583721,156.43091410169183,156.43091410169183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3471784430261695,0.3471784430261695,0.3471784430261695,0.3471784430261695,0.3471784430261695,0.3471784430261695,0.0,0.0,0.0,210.74035530067766,LINHA NOITE
2018-06-05,156.1697121926261,142.84962876773736,271.1897671870069,156.1697121926261,156.1697121926261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33458697057610387,0.33458697057610387,0.33458697057610387,0.33458697057610387,0.33458697057610387,0.33458697057610387,0.0,0.0,0.0,208.42206309089886,LINHA NOITE
2018-06-06,155.90851028356033,144.40565063583205,267.75243488431494,155.90851028356033,155.90851028356033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3242970109715104,0.3242970109715104,0.3242970109715104,0.3242970109715104,0.3242970109715104,0.3242970109715104,0.0,0.0,0.0,206.46917415353994,LINHA NOITE
2018-06-07,155.64730837449457,140.3180679726091,267.10576377804887,155.64730837449457,155.64730837449457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3162721765283364,0.3162721765283364,0.3162721765283364,0.3162721765283364,0.3162721765283364,0.3162721765283364,0.0,0.0,0.0,204.87422136487314,LINHA NOITE
2018-06-08,155.3861064654288,142.02555467284557,264.67741760241483,155.3861064654288,155.3861064654288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31038725586178495,0.31038725586178495,0.31038725586178495,0.31038725586178495,0.31038725586178495,0.31038725586178495,0.0,0.0,0.0,203.61597365028044,LINHA NOITE
