id_data,id_loja,des_estabelecimento,id_produto,qtd_estoque
20191130,20,SOROCABA,34814,1
20191130,6,ITATIBA,14649,3
20191130,7,GLICERIO,19298,3
20191130,4,INDAIATUBA,30119,2
20191130,23,BRAGANÇA,3746,6
20191130,4,INDAIATUBA,30561,1
20191130,20,SOROCABA,22042,1
20191130,27,SALTO,3037,4
20191130,7,GLICERIO,7376,12
20191130,6,ITATIBA,24445,1
20191130,23,BRAGANÇA,31141,6
20191130,15,ATIBAIA,31503,1
20191130,20,SOROCABA,22242,1
20191130,4,INDAIATUBA,20115,5
20191130,27,SALTO,31174,2
20191130,7,GLICERIO,26342,1
20191130,6,ITATIBA,948,1
20191130,15,ATIBAIA,1560,7
20191130,7,GLICERIO,24336,1
20191130,6,ITATIBA,7885,1
20191130,7,GLICERIO,32207,1
20191130,4,INDAIATUBA,24749,1
20191130,8,CAMPINAS,23000,1
20191130,4,INDAIATUBA,33628,2
20191130,23,BRAGANÇA,34212,1
20191130,7,GLICERIO,14851,4
20191130,8,CAMPINAS,32302,1
20191130,20,SOROCABA,16620,1
20191130,6,ITATIBA,17979,2
20191130,27,SALTO,2416,1
20191130,15,ATIBAIA,28343,1
20191130,20,SOROCABA,16321,2
20191130,8,CAMPINAS,20816,2
20191130,20,SOROCABA,19327,2
20191130,9,SUMARE,33984,1
20191130,7,GLICERIO,3527,3
20191130,27,SALTO,1066,1
20191130,9,SUMARE,12772,2
20191130,8,CAMPINAS,10187,3
20191130,20,SOROCABA,18999,1
20191130,15,ATIBAIA,33371,3
20191130,15,ATIBAIA,19353,5
20191130,15,ATIBAIA,24790,1
20191130,27,SALTO,10180,2
20191130,20,SOROCABA,7343,2
20191130,9,SUMARE,30890,2
20191130,16,VALINHOS,17304,1
20191130,16,VALINHOS,8766,2
20191130,27,SALTO,8790,1
20191130,27,SALTO,15233,3
20191130,6,ITATIBA,8778,2
20191130,27,SALTO,33637,3
20191130,7,GLICERIO,29004,1
20191130,8,CAMPINAS,414,1
20191130,23,BRAGANÇA,6,8
20191130,15,ATIBAIA,14947,4
20191130,4,INDAIATUBA,31900,3
20191130,4,INDAIATUBA,5107,5
